Time: 132.233 sec | RT Button: 2
Time: 132.306 sec | B Button: 4
Time: 132.379 sec | RT Button: 3
Time: 132.454 sec | B Button: 5
Time: 132.533 sec | RT Button: 4
Time: 132.592 sec | B Button: 6
Time: 132.653 sec | RT Button: 5
Time: 132.765 sec | B Button: 7
Time: 132.806 sec | LT Button: 1
Time: 132.856 sec | B Button: 8
Time: 132.895 sec | RT Button: 6
Time: 132.952 sec | LT Button: 2
Time: 133.031 sec | B Button: 9
Time: 133.104 sec | LT Button: 3
Time: 133.168 sec | B Button: 10
Time: 133.244 sec | LT Button: 4
Time: 133.306 sec | RT Button: 7
Time: 133.400 sec | LT Button: 5
Time: 133.460 sec | B Button: 11
Time: 133.530 sec | LT Button: 6
Time: 133.589 sec | RT Button: 8
Time: 133.695 sec | LT Button: 7
Time: 133.777 sec | B Button: 12
Time: 133.862 sec | LT Button: 8
Time: 133.922 sec | RT Button: 9
Time: 134.024 sec | LT Button: 9
Time: 134.132 sec | B Button: 13
Time: 134.303 sec | Y Button: 1
Time: 134.384 sec | RB Button: 1
Time: 134.461 sec | LB Button: 1
Time: 134.552 sec | Y Button: 2
Time: 134.640 sec | LB Button: 2
Time: 134.744 sec | Y Button: 3
Time: 134.848 sec | LB Button: 3
Time: 134.920 sec | Y Button: 4
Time: 134.976 sec | RB Button: 2
Time: 135.026 sec | LB Button: 4
Time: 135.173 sec | Y Button: 5
Time: 135.264 sec | LB Button: 5
Time: 135.345 sec | RB Button: 3
Time: 135.450 sec | LB Button: 6
Time: 135.547 sec | Y Button: 6
Time: 135.623 sec | RB Button: 4
Time: 135.639 sec | LB Button: 7
Time: 135.723 sec | RB Button: 5
Time: 135.780 sec | Y Button: 7
Time: 135.963 sec | B Button: 14
Time: 136.099 sec | RT Button: 10
Time: 136.221 sec | B Button: 15
Time: 136.300 sec | RT Button: 11
Time: 136.397 sec | B Button: 16
Time: 136.558 sec | A Button: 1
Time: 136.657 sec | RT Button: 12
Time: 136.766 sec | A Button: 2
Time: 136.881 sec | B Button: 17
Time: 136.927 sec | RT Button: 13
Time: 137.055 sec | B Button: 18
Time: 137.123 sec | LT Button: 10
Time: 137.267 sec | B Button: 19
Time: 137.330 sec | RT Button: 14
Time: 137.372 sec | LT Button: 11
Time: 137.447 sec | B Button: 20
Time: 137.541 sec | LT Button: 12
Time: 137.616 sec | RT Button: 15
Time: 137.844 sec | A Button: 3
Time: 138.028 sec | B Button: 21
Time: 138.142 sec | A Button: 4
Time: 138.283 sec | B Button: 22
Time: 138.405 sec | X Button: 1
Time: 138.548 sec | Y Button: 8
Time: 138.648 sec | X Button: 2
Time: 138.741 sec | Y Button: 9
Time: 138.757 sec | Y Button: 10
Time: 138.898 sec | X Button: 3
Time: 138.972 sec | Y Button: 11
Time: 139.068 sec | X Button: 4
Time: 139.162 sec | Y Button: 12
Time: 139.243 sec | X Button: 5
Time: 139.319 sec | Y Button: 13
Time: 139.407 sec | X Button: 6
Time: 139.472 sec | Y Button: 14
Time: 139.553 sec | X Button: 7
Time: 139.609 sec | Y Button: 15
Time: 139.797 sec | RB Button: 6
Time: 140.014 sec | RB Button: 7
Time: 140.169 sec | Y Button: 16
Time: 140.177 sec | RT Button: 16
Time: 140.253 sec | RB Button: 8
Time: 140.378 sec | RT Button: 17
Time: 140.473 sec | RT Button: 18
Time: 140.582 sec | B Button: 23
Time: 140.673 sec | RT Button: 19
Time: 140.748 sec | B Button: 24
Time: 140.827 sec | LT Button: 13
Time: 140.935 sec | B Button: 25
Time: 141.036 sec | LT Button: 14
Time: 141.090 sec | RT Button: 20
Time: 141.202 sec | LT Button: 15
Time: 141.309 sec | B Button: 26
Time: 141.350 sec | RT Button: 21
